target_id	est_counts	tpm
ENSMUST00000111566.8	71.3939	745.9865
ENSMUST00000111561.7	66.6523	696.4417
ENSMUST00000148407.7	26.3778	275.6185
ENSMUST00000054547.8	2.9914	31.2568
ENSMUST00000165563.7	190.6441	1992.0178
ENSMUST00000020311.12	22.2750	232.7492
ENSMUST00000092508.11	12.0809	126.2319
ENSMUST00000014546.14	88.0000	919.5018
ENSMUST00000024810.6	118.5742	1238.9679
ENSMUST00000084125.9	116.0000	1212.0706
ENSMUST00000094014.9	60.0000	626.9330
ENSMUST00000000608.7	317.0000	3312.2962
ENSMUST00000120377.7	164.2941	1716.6902
ENSMUST00000161527.7	140.5579	1468.6729
ENSMUST00000053872.11	105.0000	1097.1328
ENSMUST00000151287.7	152.0000	1588.2304
ENSMUST00000022060.6	52.0000	543.3420
ENSMUST00000222759.1	52.0000	543.3420
ENSMUST00000128156.8	67.0000	700.0752
ENSMUST00000078834.11	0.0000	0.0000
ENSMUST00000030610.2	82.0000	856.8085
ENSMUST00000021313.8	133.0000	1389.7016
ENSMUST00000072503.12	24.9836	261.0505
ENSMUST00000210640.1	24.9836	261.0505
ENSMUST00000022815.8	38.0000	397.0576
ENSMUST00000021091.14	127.9878	1337.3297
ENSMUST00000102520.8	0.0000	0.0000
ENSMUST00000084885.11	62.8265	656.4670
ENSMUST00000216891.1	62.8265	656.4670
ENSMUST00000009885.13	62.8265	656.4670
ENSMUST00000216293.1	29.5204	308.4558
ENSMUST00000034245.15	98.0000	1023.9906
ENSMUST00000014370.10	182.0000	1901.6969
ENSMUST00000073089.12	102.0000	1065.7862
ENSMUST00000034720.11	148.0000	1546.4348
ENSMUST00000076961.8	19.0000	198.5288
ENSMUST00000040404.7	132.5500	1384.9996
ENSMUST00000151304.7	166.0000	1734.5148
ENSMUST00000078050.6	73.5000	767.9930
ENSMUST00000109214.7	73.5000	767.9930
ENSMUST00000018437.2	85.4316	892.6647
ENSMUST00000015435.10	23.2226	242.6498
ENSMUST00000146013.7	23.2226	242.6498
ENSMUST00000149391.7	18.5549	193.8778
ENSMUST00000189941.1	41.0000	428.4042
ENSMUST00000082408.1	41.0000	428.4042
ENSMUST00000007959.13	76.0000	794.1152
ENSMUST00000178474.7	211.9998	2215.1608
ENSMUST00000103009.4	0.0000	0.0000
ENSMUST00000138502.1	30.0000	313.4665
ENSMUST00000021698.12	3.5012	36.5841
ENSMUST00000105331.7	41.2869	431.4025
ENSMUST00000143517.7	25.9122	270.7537
ENSMUST00000141357.1	0.0000	0.0000
ENSMUST00000111289.7	0.0000	0.0000
ENSMUST00000100874.5	111.0000	1159.8261
ENSMUST00000014457.14	6.0000	62.6933
ENSMUST00000005185.7	11.0000	114.9377
ENSMUST00000064104.12	94.0000	982.1951
ENSMUST00000099173.10	14.5000	151.5088
ENSMUST00000166171.7	14.5000	151.5088
ENSMUST00000076052.7	77.0000	804.5641
ENSMUST00000041213.11	65.7425	686.9361
ENSMUST00000168720.7	47.2575	493.7878
ENSMUST00000105613.9	200.9994	2100.2189
ENSMUST00000030939.13	0.0006	0.0068
ENSMUST00000020022.7	217.0000	2267.4078
ENSMUST00000123989.7	135.4258	1415.0486
ENSMUST00000029699.12	234.7059	2452.4146
ENSMUST00000004554.13	47.4947	496.2670
ENSMUST00000108539.7	47.4947	496.2670
ENSMUST00000202008.1	0.0000	0.0000
ENSMUST00000187279.6	1.0000	10.4489
ENSMUST00000111999.7	44.1572	461.3937
ENSMUST00000031486.13	68.8428	719.3302
ENSMUST00000115165.9	0.0220	0.2299
ENSMUST00000034065.13	19.0391	198.9377
ENSMUST00000120689.7	19.0391	198.9377
ENSMUST00000125717.7	19.0391	198.9377
ENSMUST00000186469.6	168.5585	1761.2484
ENSMUST00000117551.3	55.0000	574.6886
ENSMUST00000101094.8	50.6024	528.7391
ENSMUST00000029814.9	90.0000	940.3996
ENSMUST00000034689.7	46.0000	480.6487
ENSMUST00000021595.9	63.0000	658.2797
ENSMUST00000041231.13	138.0000	1441.9460
ENSMUST00000045628.14	169.9699	1775.9956
ENSMUST00000003512.8	68.6031	716.8258
ENSMUST00000210642.1	2.3969	25.0449
ENSMUST00000133426.7	188.0000	1964.3902
ENSMUST00000030446.14	21.0000	219.4266
ENSMUST00000026262.7	167.0000	1744.9636
ENSMUST00000090070.5	179.0000	1870.3502
ENSMUST00000035105.6	88.9249	929.1659
ENSMUST00000217317.1	8.5125	88.9465
ENSMUST00000217356.1	13.5626	141.7137
ENSMUST00000033326.9	204.0000	2131.5723
